sample_id,source_line,rating,title,text,actual_sentiment,predicted_sentiment,correct,llm_emotion,nrc_emotion,emotion_match
1,109853,1.0,Card hacked,Buyer beware! These cards are already hacked upon purchasing. They’re just waiting for you to add money to the card and activate so someone somewhere in the world can make a fraudulent transaction. I received my card for Christmas btw.,NEGATIVE,NEGATIVE,True,FEAR,ANGER,False
2,64163,1.0,Ugh,I keep trying to load my card but it won't show up,NEGATIVE,NEGATIVE,True,ANGER,TRUST,False
3,17013,3.0,"My preferred software for income tax, but ....","Why the hell we only have an option with free state tax too.  Some of us live in states without income tax.  Also (sorry, grumpy old guy here) still a bit annoyed at Intuit for making us upgrade if we'd bought or sold a few stocks during the year.",NEUTRAL,NEGATIVE,False,ANGER,SADNESS,False
4,11285,4.0,Gift,Gift,POSITIVE,NEUTRAL,False,JOY,ANTICIPATION,False
5,113599,4.0,Oferta,Oferta,POSITIVE,NEUTRAL,False,JOY,TRUST,False
6,135748,3.0,Why don’t you include the amount?!,I read reviews that the total wouldn’t be on the cards. I was fine with it. Until I learned I’d have to scratch every gift card code on the back to figure out the totals. Now they look used and have to give them to my kids teachers. Ridiculous. I’d imagine these are pretty loaded In the warehouse waiting to go out? Put the amount on the plastic bag they come in. It’s really not that complicated.,NEUTRAL,NEGATIVE,False,ANGER,ANTICIPATION,False
7,65869,5.0,Quick and Simple. No Anxiety,How can a gift card not work? Always fits and opens doors for the recipient to stack them and make their own decision.,POSITIVE,POSITIVE,True,TRUST,ANTICIPATION,False
8,109390,1.0,Damaged,This gift card came looking like it had lived in someone’s junk drawer for years. I was too embarrassed to give it to someone has a gift.,NEGATIVE,NEGATIVE,True,DISGUST,ANTICIPATION,False
9,16286,3.0,Not Sure Why You'd Do This,"I only did this because of a deal that gave you extra money for refilling. Otherwise, I suggest keep your money in a more fluid form instead of locking it in to Amazon.",NEUTRAL,NEGATIVE,False,FEAR,TRUST,False
10,44069,1.0,Worthless card!,Card declined when I tried to use it. Applebee's said the card was never activated.,NEGATIVE,NEGATIVE,True,ANGER,ANGER,True
